hyp1,hyp2,obs1,obs2,label,settings,hyp1_paraphrase,original_example_id,id,hyp1_paraphrase_invalid,annotator,annotation_id,created_at,updated_at,lead_time
All of our friends joined us as we got married.,We had our wedding night in the sand.,We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,1,,We got married with all of our friends by our side.,456,186036,valid,1,12365,2022-10-04T14:12:34.316267Z,2022-10-04T14:12:34.316285Z,2.134
All of our friends joined us as we got married.,We had our wedding night in the sand.,We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,1,,All of our friends were there with us on our big day.,456,186035,valid,1,12364,2022-10-04T14:12:31.780605Z,2022-10-04T14:12:31.780623Z,0.926
All of our friends joined us as we got married.,We had our wedding night in the sand.,We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,1,,Our friends were all there with us when we got hitched.,456,186034,valid,1,12363,2022-10-04T14:12:30.562038Z,2022-10-04T14:12:30.562056Z,1.243
All of our friends joined us as we got married.,We had our wedding night in the sand.,We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,1,,Our friends all came to our wedding.,456,186033,valid,1,12362,2022-10-04T14:12:28.957159Z,2022-10-04T14:12:28.957176Z,6.666
All of our friends joined us as we got married.,We had our wedding night in the sand.,We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,1,,All of our friends were there with us when we got hitched.,456,186032,valid,1,12361,2022-10-04T14:12:22.028852Z,2022-10-04T14:12:22.028869Z,1.801
"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,2,,"Since animals started chomping on her plants, Tish began to study their behavior more closely.",102,186031,valid,1,12360,2022-10-04T14:12:19.956658Z,2022-10-04T14:12:19.956675Z,3.513
"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,2,,"To keep her plants from being eaten, Tish observed the animals' behavior.",102,186030,invalid,1,12359,2022-10-04T14:12:15.965343Z,2022-10-04T14:12:15.965368Z,1.317
"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,2,,"Tish started to notice that animals were eating her plants, so she began to observe their behavior.",102,186029,valid,1,12358,2022-10-04T14:12:14.099353Z,2022-10-04T14:12:14.099374Z,3.548
"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,2,,"Tish began to notice that her plants were being eaten by animals, so she started to observe their behavior.",102,186028,valid,1,12357,2022-10-04T14:12:09.973976Z,2022-10-04T14:12:09.974002Z,1.796
"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,2,,"To figure out how to stop the animals from eating her plants, Tish observed their behavior closely.",102,186027,invalid,1,12356,2022-10-04T14:12:07.869297Z,2022-10-04T14:12:07.869315Z,1.308
"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,2,,"The animals started eating Tish's plants, so she began observing their behavior.",102,186026,valid,1,12355,2022-10-04T14:12:06.242159Z,2022-10-04T14:12:06.242183Z,0.883
"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,2,,"The animals were eating Tish's plants, so she watched their behavior closely.",102,186025,valid,1,12354,2022-10-04T14:12:05.005846Z,2022-10-04T14:12:05.005871Z,1.771
"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,2,,"animals started chomping on Tish's plants, so she began observing their behavior.",102,186024,,1,12353,2022-10-04T14:12:02.856857Z,2022-10-04T14:12:02.856879Z,1.218
"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,2,,Tish decided to study the animals' behavior after they started eating her plants.,102,186023,valid,1,12352,2022-10-04T14:12:01.252143Z,2022-10-04T14:12:01.252161Z,1.487
"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,2,,"The animals were eating Tish's plants, so she decided to watch them and see what they were doing.",102,186022,valid,1,12351,2022-10-04T14:11:59.511432Z,2022-10-04T14:11:59.511449Z,5.615
the pen pal came to the school.,Ari got pen pal luckly meets his long distance friend with thrilled.,Ari got a pen pal in English class.,Ari was thrilled to meet his long-distance friend!,1,,The person with whom Terry corresponded regularly came to visit her school.,3037,186021,invalid,1,12350,2022-10-04T14:11:53.624864Z,2022-10-04T14:11:53.624883Z,3.668
the pen pal came to the school.,Ari got pen pal luckly meets his long distance friend with thrilled.,Ari got a pen pal in English class.,Ari was thrilled to meet his long-distance friend!,1,,"The sentence should read: ""The pen pal came to the school.""",3037,186020,invalid,1,12349,2022-10-04T14:11:49.698965Z,2022-10-04T14:11:49.698984Z,1.058
the pen pal came to the school.,Ari got pen pal luckly meets his long distance friend with thrilled.,Ari got a pen pal in English class.,Ari was thrilled to meet his long-distance friend!,1,,The pen pal came to visit the school.,3037,186019,valid,1,12348,2022-10-04T14:11:48.396081Z,2022-10-04T14:11:48.396099Z,2.203
the pen pal came to the school.,Ari got pen pal luckly meets his long distance friend with thrilled.,Ari got a pen pal in English class.,Ari was thrilled to meet his long-distance friend!,1,,The pen pal came to the school to visit.,3037,186018,valid,1,12347,2022-10-04T14:11:45.897470Z,2022-10-04T14:11:45.897487Z,1.008
the pen pal came to the school.,Ari got pen pal luckly meets his long distance friend with thrilled.,Ari got a pen pal in English class.,Ari was thrilled to meet his long-distance friend!,1,,The pen pal came and visited the school.,3037,186017,valid,1,12346,2022-10-04T14:11:44.385212Z,2022-10-04T14:11:44.385236Z,4.065
Molly got into an accident.,She became sticky early on during the trip.,Molly was invited on a trip with the church.,She ended up having to rest for the remainder of the trip.,1,,Molly had an accident.,1126,186016,valid,1,12345,2022-10-04T14:11:40.015391Z,2022-10-04T14:11:40.015409Z,1.232
Molly got into an accident.,She became sticky early on during the trip.,Molly was invited on a trip with the church.,She ended up having to rest for the remainder of the trip.,1,,Molly was involved in an accident.,1126,186015,valid,1,12344,2022-10-04T14:11:38.555149Z,2022-10-04T14:11:38.555174Z,3.115
Molly got into an accident.,She became sticky early on during the trip.,Molly was invited on a trip with the church.,She ended up having to rest for the remainder of the trip.,1,,Molly got into a car crash.,1126,186014,valid,1,12343,2022-10-04T14:11:35.049791Z,2022-10-04T14:11:35.049809Z,1.623
Molly got into an accident.,She became sticky early on during the trip.,Molly was invited on a trip with the church.,She ended up having to rest for the remainder of the trip.,1,,Molly was in a car accident.,1126,186013,valid,1,12342,2022-10-04T14:11:33.023822Z,2022-10-04T14:11:33.023840Z,1.569
The friends family was vegan.,"Wendy wanted some cereal, but they didn't have any.","Wendy had been invited to a sleepover, but she was nervous.","All they had for cereal was soy milk, which Wendy loved!",1,,The person's friends were vegan.,1003,186012,invalid,1,12341,2022-10-04T14:11:31.189228Z,2022-10-04T14:11:31.189245Z,4.028
The friends family was vegan.,"Wendy wanted some cereal, but they didn't have any.","Wendy had been invited to a sleepover, but she was nervous.","All they had for cereal was soy milk, which Wendy loved!",1,,The friend's family did not eat meat or animal products.,1003,186011,valid,1,12340,2022-10-04T14:11:26.691736Z,2022-10-04T14:11:26.691755Z,3.627
The friends family was vegan.,"Wendy wanted some cereal, but they didn't have any.","Wendy had been invited to a sleepover, but she was nervous.","All they had for cereal was soy milk, which Wendy loved!",1,,The family of the friends were vegan.,1003,186010,invalid,1,12339,2022-10-04T14:11:22.805076Z,2022-10-04T14:11:22.805093Z,8.995
The friends family was vegan.,"Wendy wanted some cereal, but they didn't have any.","Wendy had been invited to a sleepover, but she was nervous.","All they had for cereal was soy milk, which Wendy loved!",1,,The friend's family was vegan.,1003,186009,valid,1,12338,2022-10-04T14:11:13.498273Z,2022-10-04T14:11:13.498289Z,2.585
The friends family was vegan.,"Wendy wanted some cereal, but they didn't have any.","Wendy had been invited to a sleepover, but she was nervous.","All they had for cereal was soy milk, which Wendy loved!",1,,The family of her friend was vegan.,1003,186008,valid,1,12337,2022-10-04T14:11:10.640881Z,2022-10-04T14:11:10.640898Z,1.762
The friends family was vegan.,"Wendy wanted some cereal, but they didn't have any.","Wendy had been invited to a sleepover, but she was nervous.","All they had for cereal was soy milk, which Wendy loved!",1,,The family of the friends was vegan.,1003,186007,valid,1,12336,2022-10-04T14:11:08.612425Z,2022-10-04T14:11:08.612444Z,1.106
The friends family was vegan.,"Wendy wanted some cereal, but they didn't have any.","Wendy had been invited to a sleepover, but she was nervous.","All they had for cereal was soy milk, which Wendy loved!",1,,The friends family was vegan.,1003,186006,invalid,1,12335,2022-10-04T14:11:07.099493Z,2022-10-04T14:11:07.099511Z,1.566
The friends family was vegan.,"Wendy wanted some cereal, but they didn't have any.","Wendy had been invited to a sleepover, but she was nervous.","All they had for cereal was soy milk, which Wendy loved!",1,,The friends were vegan.,1003,186005,invalid,1,12334,2022-10-04T14:11:05.202536Z,2022-10-04T14:11:05.202552Z,4.109
The friends family was vegan.,"Wendy wanted some cereal, but they didn't have any.","Wendy had been invited to a sleepover, but she was nervous.","All they had for cereal was soy milk, which Wendy loved!",1,,The person's family was vegan.,1003,186004,valid,1,12333,2022-10-04T14:11:00.814237Z,2022-10-04T14:11:00.814261Z,8.157
Bindu's friends did not come to the party.,Bindu's parents came to the party.,Bindu planned a party with her friends.,Bindu hates her friends and parties.,1,,Bindu's friends were no-shows at the party.,914,186003,valid,1,12332,2022-10-04T14:10:52.368317Z,2022-10-04T14:10:52.368333Z,0.996
Bindu's friends did not come to the party.,Bindu's parents came to the party.,Bindu planned a party with her friends.,Bindu hates her friends and parties.,1,,Bindu's friends were absent from the party.,914,186002,valid,1,12331,2022-10-04T14:10:51.011318Z,2022-10-04T14:10:51.011335Z,1.128
Bindu's friends did not come to the party.,Bindu's parents came to the party.,Bindu planned a party with her friends.,Bindu hates her friends and parties.,1,,Bindu's friends did not attend the party.,914,186001,valid,1,12330,2022-10-04T14:10:49.619282Z,2022-10-04T14:10:49.619299Z,1.315
Bindu's friends did not come to the party.,Bindu's parents came to the party.,Bindu planned a party with her friends.,Bindu hates her friends and parties.,1,,Bindu's friends weren't able to make it to the party.,914,186000,valid,1,12329,2022-10-04T14:10:47.982880Z,2022-10-04T14:10:47.982897Z,4.207
Bindu's friends did not come to the party.,Bindu's parents came to the party.,Bindu planned a party with her friends.,Bindu hates her friends and parties.,1,,Bindu's friends didn't show up to the party.,914,185999,valid,1,12328,2022-10-04T14:10:43.528560Z,2022-10-04T14:10:43.528578Z,1.22
Bindu's friends did not come to the party.,Bindu's parents came to the party.,Bindu planned a party with her friends.,Bindu hates her friends and parties.,1,,Bindu was disappointed when none of her friends showed up to her party.,914,185998,invalid,1,12327,2022-10-04T14:10:41.982885Z,2022-10-04T14:10:41.982904Z,6.633
Erica curled up with it on a stormy night.,Erin couldn't wait to get a different book.,Erin found a book that she wanted to read.,Before long she was reading found book.,1,,"To fight off the chill on a blustery night, Erica snuggled up with the soft, comfortable throw blanket.",571,185997,invalid,1,12326,2022-10-04T14:10:35.050487Z,2022-10-04T14:10:35.050505Z,1.706
Erica curled up with it on a stormy night.,Erin couldn't wait to get a different book.,Erin found a book that she wanted to read.,Before long she was reading found book.,1,,Erica snuggled with the book on a stormy night.,571,185996,invalid,1,12325,2022-10-04T14:10:33.019170Z,2022-10-04T14:10:33.019188Z,1.896
Erica curled up with it on a stormy night.,Erin couldn't wait to get a different book.,Erin found a book that she wanted to read.,Before long she was reading found book.,1,,"On a stormy evening, Erica grabbed the book and got cozy.",571,185995,valid,1,12324,2022-10-04T14:10:30.801716Z,2022-10-04T14:10:30.801742Z,6.0
Erica curled up with it on a stormy night.,Erin couldn't wait to get a different book.,Erin found a book that she wanted to read.,Before long she was reading found book.,1,,"On a particularly rainy and loud night, Erica found comfort in snuggling up with her favorite book.",571,185994,valid,1,12323,2022-10-04T14:10:24.467291Z,2022-10-04T14:10:24.467316Z,10.076
Erica curled up with it on a stormy night.,Erin couldn't wait to get a different book.,Erin found a book that she wanted to read.,Before long she was reading found book.,1,,"During a stormy night, Erica felt comfort from holding the stuffed animal close.",571,185993,invalid,1,12322,2022-10-04T14:10:14.003179Z,2022-10-04T14:10:14.003203Z,1.686
Erica curled up with it on a stormy night.,Erin couldn't wait to get a different book.,Erin found a book that she wanted to read.,Before long she was reading found book.,1,,"To stay warm on a blustery night, Erica snuggled up with the blanket.",571,185992,invalid,1,12321,2022-10-04T14:10:12.038821Z,2022-10-04T14:10:12.038838Z,1.439
Erica curled up with it on a stormy night.,Erin couldn't wait to get a different book.,Erin found a book that she wanted to read.,Before long she was reading found book.,1,,"With the storm raging outside, Erica snuggled up with the blanket.",571,185991,invalid,1,12320,2022-10-04T14:10:10.268788Z,2022-10-04T14:10:10.268814Z,2.269
Erica curled up with it on a stormy night.,Erin couldn't wait to get a different book.,Erin found a book that she wanted to read.,Before long she was reading found book.,1,,"On a particularly stormy night, Erica decided to curl up with the book.",571,185990,valid,1,12319,2022-10-04T14:10:07.735427Z,2022-10-04T14:10:07.735445Z,11.198
Erica curled up with it on a stormy night.,Erin couldn't wait to get a different book.,Erin found a book that she wanted to read.,Before long she was reading found book.,1,,Erica huddled up with the book on a wet and wild night.,571,185989,invalid,1,12318,2022-10-04T14:09:56.192552Z,2022-10-04T14:09:56.192576Z,2.224
Erica curled up with it on a stormy night.,Erin couldn't wait to get a different book.,Erin found a book that she wanted to read.,Before long she was reading found book.,1,,"Erica snuggled up with the blanket on a cold, rainy night.",571,185988,invalid,1,12317,2022-10-04T14:09:53.217647Z,2022-10-04T14:09:53.217672Z,4.488
I drank too much caffeine.,I didn't drink any caffeine.,"Throughout my day in school, I was completely tired.",I decided to watch movies all night.,1,,I had too much caffeine and it made me feel jittery.,3016,185987,invalid,1,12316,2022-10-04T14:09:48.403822Z,2022-10-04T14:09:48.403838Z,1.126
I drank too much caffeine.,I didn't drink any caffeine.,"Throughout my day in school, I was completely tired.",I decided to watch movies all night.,1,,I ingested too much caffeine.,3016,185986,valid,1,12315,2022-10-04T14:09:46.943858Z,2022-10-04T14:09:46.943882Z,0.892
I drank too much caffeine.,I didn't drink any caffeine.,"Throughout my day in school, I was completely tired.",I decided to watch movies all night.,1,,I had too much caffeine and felt jittery.,3016,185985,invalid,1,12314,2022-10-04T14:09:45.751817Z,2022-10-04T14:09:45.751840Z,1.381
I drank too much caffeine.,I didn't drink any caffeine.,"Throughout my day in school, I was completely tired.",I decided to watch movies all night.,1,,I had too much caffeine.,3016,185984,valid,1,12313,2022-10-04T14:09:43.904717Z,2022-10-04T14:09:43.904734Z,1.275
I drank too much caffeine.,I didn't drink any caffeine.,"Throughout my day in school, I was completely tired.",I decided to watch movies all night.,1,,I consumed too much caffeine.,3016,185983,valid,1,12312,2022-10-04T14:09:42.188550Z,2022-10-04T14:09:42.188566Z,0.795
I drank too much caffeine.,I didn't drink any caffeine.,"Throughout my day in school, I was completely tired.",I decided to watch movies all night.,1,,I drank too much caffeine and now I'm feeling jittery.,3016,185982,invalid,1,12311,2022-10-04T14:09:41.080841Z,2022-10-04T14:09:41.080865Z,4.586
The cat figured out a way to stay in the carrier and sleep.,The cat always got out of it.,Larry bought a new cat carrier.,Larry was frustrated but impressed.,2,,The cat was crafty and found a way to stay in the carrier and sleep.,419,185981,valid,1,12310,2022-10-04T14:09:36.215050Z,2022-10-04T14:09:36.215068Z,1.076
The cat figured out a way to stay in the carrier and sleep.,The cat always got out of it.,Larry bought a new cat carrier.,Larry was frustrated but impressed.,2,,The cat found a way to stay in the carrier and sleep.,419,185980,valid,1,12309,2022-10-04T14:09:34.777899Z,2022-10-04T14:09:34.777916Z,43.816
The cat figured out a way to stay in the carrier and sleep.,The cat always got out of it.,Larry bought a new cat carrier.,Larry was frustrated but impressed.,2,,The cat devised a way to stay in the carrier and sleep.,419,185979,valid,1,12308,2022-10-04T14:08:50.544273Z,2022-10-04T14:08:50.544296Z,1.482
The cat figured out a way to stay in the carrier and sleep.,The cat always got out of it.,Larry bought a new cat carrier.,Larry was frustrated but impressed.,2,,The cat was crafty and managed to stay in the carrier and sleep.,419,185978,valid,1,12307,2022-10-04T14:08:48.657363Z,2022-10-04T14:08:48.657386Z,2.585
The cat figured out a way to stay in the carrier and sleep.,The cat always got out of it.,Larry bought a new cat carrier.,Larry was frustrated but impressed.,2,,The cat was smart and found a way to stay in the carrier and sleep.,419,185977,valid,1,12306,2022-10-04T14:08:45.735374Z,2022-10-04T14:08:45.735399Z,1.109
The cat figured out a way to stay in the carrier and sleep.,The cat always got out of it.,Larry bought a new cat carrier.,Larry was frustrated but impressed.,2,,The cat devised a plan to stay in the carrier and sleep.,419,185976,valid,1,12305,2022-10-04T14:08:44.255487Z,2022-10-04T14:08:44.255510Z,1.324
The cat figured out a way to stay in the carrier and sleep.,The cat always got out of it.,Larry bought a new cat carrier.,Larry was frustrated but impressed.,2,,The cat was smart enough to find a way to stay in the carrier and sleep.,419,185975,valid,1,12304,2022-10-04T14:08:42.606257Z,2022-10-04T14:08:42.606275Z,1.85
The cat figured out a way to stay in the carrier and sleep.,The cat always got out of it.,Larry bought a new cat carrier.,Larry was frustrated but impressed.,2,,The cat figured out a way to stay in the carrier and sleep.,419,185974,invalid,1,12303,2022-10-04T14:08:31.967342Z,2022-10-04T14:08:39.451919Z,8.339
The cat figured out a way to stay in the carrier and sleep.,The cat always got out of it.,Larry bought a new cat carrier.,Larry was frustrated but impressed.,2,,The cat was clever and found a way to stay in the carrier and sleep.,419,185973,invalid,1,12302,2022-10-04T14:08:28.711763Z,2022-10-04T14:08:28.711783Z,2.756
He went to the park.,James friends also loved dinosaurs.,James loved dinosaurs.,They were so excited to hear about the T-Rex he saw!,2,,He went to the nearby park.,2771,185972,invalid,1,12301,2022-10-04T14:08:25.572193Z,2022-10-04T14:08:25.572219Z,1.113
He went to the park.,James friends also loved dinosaurs.,James loved dinosaurs.,They were so excited to hear about the T-Rex he saw!,2,,He went to the local park.,2771,185971,invalid,1,12300,2022-10-04T14:08:24.017002Z,2022-10-04T14:08:24.017020Z,1.313
He went to the park.,James friends also loved dinosaurs.,James loved dinosaurs.,They were so excited to hear about the T-Rex he saw!,2,,He visited the park.,2771,185970,valid,1,12299,2022-10-04T14:08:22.397224Z,2022-10-04T14:08:22.397242Z,0.864
He went to the park.,James friends also loved dinosaurs.,James loved dinosaurs.,They were so excited to hear about the T-Rex he saw!,2,,He went to the lot where the park is located.,2771,185969,invalid,1,12298,2022-10-04T14:08:21.156209Z,2022-10-04T14:08:21.156227Z,1.216
He went to the park.,James friends also loved dinosaurs.,James loved dinosaurs.,They were so excited to hear about the T-Rex he saw!,2,,He walked to the park.,2771,185968,invalid,1,12297,2022-10-04T14:08:19.646330Z,2022-10-04T14:08:19.646348Z,3.729
Ken discovered that the man used a bib to eat.,The man made an offensive comment to Ken.,"Ken met a nice man online, and they decided to go on a date.",Ken made an excuse to leave quickly.,2,,Ken found out that the man always wore a bib when he ate.,3033,185967,valid,1,12296,2022-10-04T14:08:15.530493Z,2022-10-04T14:08:15.530518Z,1.788
Ken discovered that the man used a bib to eat.,The man made an offensive comment to Ken.,"Ken met a nice man online, and they decided to go on a date.",Ken made an excuse to leave quickly.,2,,"While observing the man, Ken realized that he always wore a bib when eating.",3033,185966,valid,1,12295,2022-10-04T14:08:13.463277Z,2022-10-04T14:08:13.463294Z,4.16
Ken discovered that the man used a bib to eat.,The man made an offensive comment to Ken.,"Ken met a nice man online, and they decided to go on a date.",Ken made an excuse to leave quickly.,2,,It was discovered by Ken that the man used a bib while eating.,3033,185965,valid,1,12294,2022-10-04T14:08:08.955195Z,2022-10-04T14:08:08.955213Z,1.715
Ken discovered that the man used a bib to eat.,The man made an offensive comment to Ken.,"Ken met a nice man online, and they decided to go on a date.",Ken made an excuse to leave quickly.,2,,He observed that the guy used a bib while eating his meal.,3033,185964,valid,1,12293,2022-10-04T14:08:06.834079Z,2022-10-04T14:08:06.834097Z,1.999
Ken discovered that the man used a bib to eat.,The man made an offensive comment to Ken.,"Ken met a nice man online, and they decided to go on a date.",Ken made an excuse to leave quickly.,2,,He was surprised to see that the man wore a bib while he ate his meal.,3033,185963,invalid,1,12292,2022-10-04T14:08:04.567201Z,2022-10-04T14:08:04.567219Z,3.148
Ken discovered that the man used a bib to eat.,The man made an offensive comment to Ken.,"Ken met a nice man online, and they decided to go on a date.",Ken made an excuse to leave quickly.,2,,Ken realized that the man was using a bib to eat.,3033,185962,valid,1,12291,2022-10-04T14:08:00.979587Z,2022-10-04T14:08:00.979604Z,0.867
Ken discovered that the man used a bib to eat.,The man made an offensive comment to Ken.,"Ken met a nice man online, and they decided to go on a date.",Ken made an excuse to leave quickly.,2,,Ken realized that the man was using a bib to protect his clothing while he ate.,3033,185961,valid,1,12290,2022-10-04T14:07:59.856184Z,2022-10-04T14:07:59.856201Z,2.178
Ken discovered that the man used a bib to eat.,The man made an offensive comment to Ken.,"Ken met a nice man online, and they decided to go on a date.",Ken made an excuse to leave quickly.,2,,Ken realized that the man was wearing a bib while he ate.,3033,185960,valid,1,12289,2022-10-04T14:07:57.323727Z,2022-10-04T14:07:57.323752Z,0.849
Ken discovered that the man used a bib to eat.,The man made an offensive comment to Ken.,"Ken met a nice man online, and they decided to go on a date.",Ken made an excuse to leave quickly.,2,,Ken found out that the man wore a bib while he was eating.,3033,185959,valid,1,12288,2022-10-04T14:07:56.180534Z,2022-10-04T14:07:56.180551Z,6.755
Amy didn't have any clean skirts.,Amy did laundry soon after their work shift was done.,Amy needed to do a load of laundry.,Amy changed pants and was late to work as a result.,1,,Amy didn't own any skirts that were clean.,2233,185958,invalid,1,12287,2022-10-04T14:07:48.978447Z,2022-10-04T14:07:48.978472Z,1.373
Amy didn't have any clean skirts.,Amy did laundry soon after their work shift was done.,Amy needed to do a load of laundry.,Amy changed pants and was late to work as a result.,1,,Amy did not have any skirts that were clean.,2233,185957,valid,1,12286,2022-10-04T14:07:47.321732Z,2022-10-04T14:07:47.321749Z,1.156
Amy didn't have any clean skirts.,Amy did laundry soon after their work shift was done.,Amy needed to do a load of laundry.,Amy changed pants and was late to work as a result.,1,,Amy's skirts were all dirty.,2233,185956,valid,1,12285,2022-10-04T14:07:45.713226Z,2022-10-04T14:07:45.713251Z,1.439
Amy didn't have any clean skirts.,Amy did laundry soon after their work shift was done.,Amy needed to do a load of laundry.,Amy changed pants and was late to work as a result.,1,,Amy didn't have any skirts that were clean.,2233,185955,valid,1,12284,2022-10-04T14:07:40.139304Z,2022-10-04T14:07:40.139330Z,1.607
Amy didn't have any clean skirts.,Amy did laundry soon after their work shift was done.,Amy needed to do a load of laundry.,Amy changed pants and was late to work as a result.,1,,Amy didn't have any clean skirts to wear.,2233,185954,valid,1,12283,2022-10-04T14:07:38.178999Z,2022-10-04T14:07:38.179017Z,1.169
Amy didn't have any clean skirts.,Amy did laundry soon after their work shift was done.,Amy needed to do a load of laundry.,Amy changed pants and was late to work as a result.,1,,"Amy Dialogue: ""I don't have any clean skirts.""",2233,185953,invalid,1,12282,2022-10-04T14:07:36.668446Z,2022-10-04T14:07:36.668465Z,1.231
Amy didn't have any clean skirts.,Amy did laundry soon after their work shift was done.,Amy needed to do a load of laundry.,Amy changed pants and was late to work as a result.,1,,Amy had no skirts that were clean.,2233,185952,valid,1,12281,2022-10-04T14:07:34.941383Z,2022-10-04T14:07:34.941419Z,3.854
Deborah stopped working for a computer.,The computer suddenly stopped working altogether.,Deborah's computer continuously slowed down.,Deborah is now in route to the computer repair shop with a dead PC.,2,,"After working with computers for a while, Deborah decided to take a break.",356,185951,invalid,1,12280,2022-10-04T14:07:30.688088Z,2022-10-04T14:07:30.688104Z,1.138
Deborah stopped working for a computer.,The computer suddenly stopped working altogether.,Deborah's computer continuously slowed down.,Deborah is now in route to the computer repair shop with a dead PC.,2,,Deborah stopped using the computer for work.,356,185950,invalid,1,12279,2022-10-04T14:07:29.129449Z,2022-10-04T14:07:29.129467Z,2.649
Deborah stopped working for a computer.,The computer suddenly stopped working altogether.,Deborah's computer continuously slowed down.,Deborah is now in route to the computer repair shop with a dead PC.,2,,Deborah no longer works with computers.,356,185949,valid,1,12278,2022-10-04T14:07:26.190932Z,2022-10-04T14:07:26.190949Z,0.832
Deborah stopped working for a computer.,The computer suddenly stopped working altogether.,Deborah's computer continuously slowed down.,Deborah is now in route to the computer repair shop with a dead PC.,2,,She stopped working with computers.,356,185948,valid,1,12277,2022-10-04T14:07:25.104841Z,2022-10-04T14:07:25.104859Z,1.501
