obs1,obs2,hyp1,hyp2,label,hyp1_paraphrase,settings,original_example_id
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams had been feeling a little wrong, giving them a second chance.","{'lexical': 0.35, 'syntactic': 0.4, 'semantic': 0.85}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams have been thinking of something that was wrong, giving them a second ball.","{'lexical': 0.35, 'syntactic': 0.5, 'semantic': 0.9}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,The second team had a feeling of badness and had given them a fresh ball.,"{'lexical': 0.45, 'syntactic': 0.2, 'semantic': 0.75}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"The second team had been feeling bad, giving them the next ball.","{'lexical': 0.4, 'syntactic': 0.35, 'semantic': 0.85}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams had been hesitant, giving them a fresh ball.","{'lexical': 0.55, 'syntactic': 0.4, 'semantic': 0.7}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams had been a little bit merry and they had given them a new,"{'lexical': 0.4, 'syntactic': 0.35, 'semantic': 0.75}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams had been hesitant, giving them a new ball.","{'lexical': 0.35, 'syntactic': 0.45, 'semantic': 0.85}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams were a bad guy and gave them another ball.,"{'lexical': 0.55, 'syntactic': 0.35, 'semantic': 1.0}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams were a bad guy, giving them another ball.","{'lexical': 0.45, 'syntactic': 0.45, 'semantic': 1.0}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams have been thinking of something that was wrong, giving them a new ball.","{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 0.85}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams have been a little wrong, giving them a new ball.","{'lexical': 0.4, 'syntactic': 0.55, 'semantic': 0.7}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams had been hesitant and had given them a new ball.,"{'lexical': 0.55, 'syntactic': 0.4, 'semantic': 0.9}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams were wrong, giving them a new ball.","{'lexical': 0.45, 'syntactic': 0.4, 'semantic': 1.0}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams had been hesitant, giving them the next ball.","{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 0.9}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams have been a little bit merry and they've given them a,"{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 0.75}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams thought they were bad and they had given them a new ball.,"{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 1.0}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Second Team had a bad idea and had given them a new ball.,"{'lexical': 0.55, 'syntactic': 0.3, 'semantic': 0.85}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams had been hesitant and had given them a fresh ball.,"{'lexical': 0.55, 'syntactic': 0.35, 'semantic': 0.75}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams have been thinking of something that was wrong, giving them the next ball.","{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 0.8}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams were a bit bad and they've given them another ball.,"{'lexical': 0.45, 'syntactic': 0.5, 'semantic': 1.0}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams have been a little bit crocked and they've given them ,"{'lexical': 0.5, 'syntactic': 0.5, 'semantic': 0.85}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Second Team had a bad idea and had given them a fresh ball.,"{'lexical': 0.55, 'syntactic': 0.35, 'semantic': 0.8}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams were wrong, giving them the next ball.","{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 1.0}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams had a bad idea, giving them a new ball.","{'lexical': 0.55, 'syntactic': 0.5, 'semantic': 1.0}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams have been oblivious about giving them a new ball.,"{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 0.8}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams have been a little bit bad and they've given them a new ball,"{'lexical': 0.5, 'syntactic': 0.55, 'semantic': 0.85}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other team thought bad and gave them another ball.,"{'lexical': 0.55, 'syntactic': 0.2, 'semantic': 1.0}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,Other teams had been oblivious about giving them a new ball.,"{'lexical': 0.55, 'syntactic': 0.35, 'semantic': 0.7}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other teams have been hesitant, giving them fresh ball.","{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 0.85}",2619
One bowling team was so poor that they only could afford one ball.,Now the team had two balls.,The other team felt bad and gave them another ball.,The other team felt great and gave them another ball.,1,"Other Team had a bad idea, giving them a new ball.","{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 1.0}",2619
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,All of our friends came over because of a wedding.,"{'lexical': 0.35, 'syntactic': 0.2, 'semantic': 0.7}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,All our friends came over because of our marriage.,"{'lexical': 0.35, 'syntactic': 0.25, 'semantic': 0.9}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,All our friends joined us because of our marriage.,"{'lexical': 0.25, 'syntactic': 0.2, 'semantic': 1.0}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Our friends all joined us because of our marriage.,"{'lexical': 0.3, 'syntactic': 0.4, 'semantic': 1.0}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,All of our friends came over to join us... ...when we married.,"{'lexical': 0.2, 'syntactic': 0.3, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,All our friends came over because of a wedding.,"{'lexical': 0.35, 'syntactic': 0.25, 'semantic': 0.8}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,All of our friends came over to join us... ...for marriage.,"{'lexical': 0.2, 'syntactic': 0.35, 'semantic': 0.7}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,All our friends came over to join us... ...when we married.,"{'lexical': 0.2, 'syntactic': 0.35, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,All our friends came over to join us for the marriage.,"{'lexical': 0.3, 'syntactic': 0.3, 'semantic': 0.8}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Our friends all joined us in the wedding.,"{'lexical': 0.35, 'syntactic': 0.45, 'semantic': 0.9}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,We had all our friends join us for the marriage.,"{'lexical': 0.2, 'syntactic': 0.45, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Our friends all joined us for the wedding.,"{'lexical': 0.4, 'syntactic': 0.4, 'semantic': 0.85}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Our friends all joined us when we got married.,"{'lexical': 0.2, 'syntactic': 0.45, 'semantic': 0.8}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,We had all our friends join us because of the marriage.,"{'lexical': 0.2, 'syntactic': 0.55, 'semantic': 0.7}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,We had all our friends join us because of the wedding.,"{'lexical': 0.3, 'syntactic': 0.55, 'semantic': 0.8}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,We had all our friends join us because we had a wedding.,"{'lexical': 0.3, 'syntactic': 0.55, 'semantic': 0.9}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,We had all our friends join us because of our marriage.,"{'lexical': 0.3, 'syntactic': 0.55, 'semantic': 0.85}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,All of our friends came over to join us for the marriage.,"{'lexical': 0.25, 'syntactic': 0.25, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Our friends joined us because of our marriage.,"{'lexical': 0.35, 'syntactic': 0.3, 'semantic': 1.0}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,All of our friends came over to join us... ...when we had a wedding.,"{'lexical': 0.25, 'syntactic': 0.3, 'semantic': 0.7}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,All our friends came over to join us... ...when we had a wedding.,"{'lexical': 0.3, 'syntactic': 0.3, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,We had all our friends join us for the wedding.,"{'lexical': 0.35, 'syntactic': 0.55, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend of ours came over to join us... ...because of our marriage.,"{'lexical': 0.55, 'syntactic': 0.3, 'semantic': 1.0}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend of ours came over because of our marriage.,"{'lexical': 0.45, 'syntactic': 0.2, 'semantic': 1.0}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,All of our friends came over to join us... ...when we got married.,"{'lexical': 0.3, 'syntactic': 0.25, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,We had all our friends come over for the marriage.,"{'lexical': 0.4, 'syntactic': 0.55, 'semantic': 0.85}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,We had all our friends come over for marriage.,"{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 0.8}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend of ours came over to join us... ...against the wedding,"{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 0.9}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend of ours came over to join us... ...when we had this wedding.,"{'lexical': 0.45, 'syntactic': 0.3, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend of ours came over to join us... ...for marriage.,"{'lexical': 0.55, 'syntactic': 0.35, 'semantic': 0.9}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend of ours came over to join us... ...against the marriage,"{'lexical': 0.45, 'syntactic': 0.25, 'semantic': 0.85}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend of ours came over to join us... ...when we had this marriage.,"{'lexical': 0.45, 'syntactic': 0.45, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend and I had a partner come over to see us... ...when we had,"{'lexical': 0.55, 'syntactic': 0.5, 'semantic': 0.8}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend and we had a meeting.,"{'lexical': 0.55, 'syntactic': 0.5, 'semantic': 0.85}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend comes over to join us because we have a marriage.,"{'lexical': 0.45, 'syntactic': 0.5, 'semantic': 1.0}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend of ours came over to join us... ...when we had a wedding,"{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 0.85}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend joins us because we have a wedding.,"{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 1.0}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend came over when we married.,"{'lexical': 0.5, 'syntactic': 0.35, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend came over when we had the marriage.,"{'lexical': 0.5, 'syntactic': 0.3, 'semantic': 0.8}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend came over with us... ...when we had the wedding.,"{'lexical': 0.5, 'syntactic': 0.3, 'semantic': 0.85}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend came over with us.,"{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 0.9}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend came over when we had the wedding.,"{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 1.0}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend came over with us. He came over with us.,"{'lexical': 0.5, 'syntactic': 0.45, 'semantic': 0.9}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend came over to join us... ...when we had the marriage.,"{'lexical': 0.5, 'syntactic': 0.45, 'semantic': 0.8}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend has come over to join us... ...because of our marriage.,"{'lexical': 0.5, 'syntactic': 0.5, 'semantic': 0.8}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend has come over to join us... ...for marriage.,"{'lexical': 0.55, 'syntactic': 0.5, 'semantic': 0.7}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend has come over to join us... ...because we've got a wedding,"{'lexical': 0.5, 'syntactic': 0.5, 'semantic': 0.85}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend has come to join us... ...because we've got a wedding.,"{'lexical': 0.5, 'syntactic': 0.5, 'semantic': 0.9}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend comes over because we're married.,"{'lexical': 0.5, 'syntactic': 0.5, 'semantic': 1.0}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,We had everyone's friends join us... ...when we got married.,"{'lexical': 0.5, 'syntactic': 0.55, 'semantic': 0.7}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend's been invited to join us... ...for marriage.,"{'lexical': 0.5, 'syntactic': 0.55, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend has come over to join us... ...when we're married.,"{'lexical': 0.55, 'syntactic': 0.5, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend comes over to join us... ...when we're married.,"{'lexical': 0.55, 'syntactic': 0.5, 'semantic': 0.9}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend joins us because we have a marriage.,"{'lexical': 0.55, 'syntactic': 0.5, 'semantic': 1.0}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend of ours came to join us... ...because of our marriage.,"{'lexical': 0.55, 'syntactic': 0.2, 'semantic': 1.0}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend of ours came over to see us... ...when we had this wedding.,"{'lexical': 0.55, 'syntactic': 0.3, 'semantic': 0.8}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend joined us when we married.,"{'lexical': 0.55, 'syntactic': 0.35, 'semantic': 1.0}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend and I had a partner.,"{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend and we had a wedding.,"{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 0.85}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend's come over to see us... ...when we're married.,"{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 0.75}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend and I had a partner... ...against our wedding.,"{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 0.8}",456
We decided to get married on the beach.,We ended our day with a dip in the cool ocean.,All of our friends joined us as we got married.,We had our wedding night in the sand.,1,Every friend joins us when we're married.,"{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 0.9}",456
Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,2,"The animals had begun eating their crops, Tish had been observant to their behavior.","{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 0.8}",102
Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,2,"The animals had begun eating their crops, Tish had been observing their behavior.","{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 0.8}",102
Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,2,"The animals had begun eating their plants, Tish had been following their behavior.","{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 0.9}",102
Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,2,"The animals had begun eating their plants, Tish observed their behaviour.","{'lexical': 0.45, 'syntactic': 0.55, 'semantic': 1.0}",102
Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,2,"The animals had begun eating their crops, Tish observed their behaviour.","{'lexical': 0.45, 'syntactic': 0.5, 'semantic': 0.85}",102
Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,2,"The animals have begun eating their plants, and Tish has been following their behavior.","{'lexical': 0.2, 'syntactic': 0.35, 'semantic': 1.0}",102
Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,2,The animals have begun eating their plants and Tish has been following their behaviour.,"{'lexical': 0.5, 'syntactic': 0.45, 'semantic': 1.0}",102
Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,2,"The animals had begun eating their plants, and Tish had been following their behavior.","{'lexical': 0.2, 'syntactic': 0.45, 'semantic': 0.75}",102
Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,2,"The animals had begun eating their plants, and Tish had been following suit.","{'lexical': 0.25, 'syntactic': 0.55, 'semantic': 0.75}",102
Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,2,"The animals had begun eating their crops, Tish had been following their behaviour.","{'lexical': 0.55, 'syntactic': 0.45, 'semantic': 0.85}",102
Tish liked gardening in her yard.,Tish's garden started to recover and look bright and green again.,"Animals began to eat her plants, so Tish observed their behavior.",There was a bad storm by Trish's garden.,2,"The animals had begun eating their plants, Tish had been following their behaviour.","{'lexical': 0.55, 'syntactic': 0.55, 'semantic': 0.9}",102
